user_id,initial_query,num_turns,full_conversation
,model robustness,3,"User Query: model robustness

Assistant: What specific domain or application area are you interested in for model robustness?
User: I'm focused on Machine Learning Security, specifically looking at adversarial attacks on vision transformers.

Assistant: What time period are you interested in for the research papers on this topic?
User: I'm looking for papers published between 2021 and 2024.

Assistant: What specific methodology or type of approach are you interested in regarding adversarial attacks on vision transformers?
User: I'm interested in novel methods, particularly focusing on attention-based attacks, patch-based perturbations, and certified defenses.
"
,conversational AI,3,"User Query: conversational AI

Assistant: What specific aspects of conversational AI are you interested in? For example, are you looking for research on its applications, technologies, or user interactions?
User: I'm specifically interested in aspects related to task-oriented dialogue systems, particularly focusing on few-shot adaptation and multi-domain transfer in the context of end-to-end learning.

Assistant: What time period are you interested in for the research papers? Are you looking for the most recent studies or any specific range of years?
User: I'm looking for papers published between 2020 and 2024.

Assistant: Are there any specific methodologies or approaches you're particularly interested in, such as neural networks, reinforcement learning, or something else?
User: I'm focused on empirical studies that include code, particularly those related to dialogue state tracking, policy learning, and GPT-based dialogue systems within task-oriented dialogue systems.
"
,interpretability,3,"User Query: interpretability

Assistant: What specific aspect of interpretability are you interested in, such as methods, applications, or theoretical frameworks?
User: I'm specifically interested in attention-based explanations for NLP models, focusing on evaluation metrics and human studies related to these explanations.

Assistant: What time period are you focusing on for the research papers, or are you open to any relevant studies?
User: I'm specifically looking for papers published between 2019 and 2024.

Assistant: Are you interested in any particular NLP models or frameworks, such as BERT, GPT, or others, that you would like the papers to focus on?
User: I'm not sure. My focus is on attention-based explanations for NLP models in general, rather than specific models.
"
,medical imaging,3,"User Query: medical imaging

Assistant: What specific aspect of medical imaging are you interested in, such as techniques, applications, or technologies?
User: I'm specifically interested in deep learning techniques for medical image segmentation, particularly focusing on U-Net variants, 3D segmentation, and organ segmentation. I'm also looking for papers that address issues like limited training data and clinical validation.

Assistant: What time period are you focusing on for the research papers?
User: I'm looking for papers published between 2020 and 2024.

Assistant: Are you interested in a particular medical domain, such as oncology, cardiology, or neurology, related to the organ segmentation?
User: I'm not sure. My focus is on deep learning for medical image segmentation, specifically U-Net variants, 3D segmentation, and organ segmentation, without a specific medical domain mentioned.
"
,forecasting,3,"User Query: forecasting

Assistant: What specific domain or application area are you interested in for forecasting?
User: I'm focused on multivariate time series forecasting, particularly using transformer-based models. I'm interested in aspects like long sequence modeling and missing data handling.

Assistant: What time period or publication years are you most interested in for the papers?
User: I'm looking for papers published between 2021 and 2024.

Assistant: Are you looking for theoretical papers, practical applications, or a mix of both in your search?
User: I'm specifically looking for novel methods with benchmarks in the area of transformer-based models for multivariate time series forecasting.
"
,code generation,3,"User Query: code generation

Assistant: What specific aspect of code generation are you interested in? For example, are you looking for research on techniques, applications, or tools?
User: I'm particularly interested in empirical studies focusing on evaluation benchmarks and security implications related to large language models for code generation and completion.

Assistant: What time period are you interested in for these empirical studies? Are you looking for recent papers from the last few years, or is there a specific timeframe you have in mind?
User: I'm specifically looking for empirical studies published between 2021 and 2024.

Assistant: Are you interested in a particular application area for these code generation studies, such as web development, data science, or another field?
User: I'm not sure. My focus is primarily on empirical studies related to large language models for code generation and completion, specifically looking at evaluation benchmarks and security implications, without a specific application area in mind.
"
,causal models,3,"User Query: causal models

Assistant: What specific aspect of causal models are you interested in, such as methodology, application area, or theoretical foundations?
User: I'm particularly interested in the theoretical aspects of causal representation learning in deep neural networks, focusing on identifiability guarantees and practical algorithms.

Assistant: What time period are you focusing on for the research papers?
User: I'm looking for papers published between 2020 and 2024.

Assistant: Are you interested in any specific application areas where these causal representation learning techniques are applied, such as healthcare, social sciences, or another field?
User: I'm not sure. My focus is primarily on the theoretical aspects of causal representation learning, specifically on identifiability guarantees and practical algorithms, rather than specific application areas.
"
,speech processing,3,"User Query: speech processing

Assistant: What specific aspect of speech processing are you interested in? For example, are you looking at speech recognition, synthesis, or something else?
User: I'm specifically interested in end-to-end speech recognition, particularly using transformers. My focus includes topics like wav2vec, conformer, and streaming ASR, especially in the context of low-resource languages and noisy environments.

Assistant: What time period are you focusing on for the research papers? Are you looking for recent studies, or is there a specific range of years that interests you?
User: I'm focusing on papers from 2020 to 2024. I'm particularly interested in surveys and seminal works related to end-to-end speech recognition with transformers during this time frame.

Assistant: Are you looking for papers from specific conferences or journals, or are you open to any reputable source in the field?
User: I prefer papers from specific venues such as ICASSP, Interspeech, NeurIPS, and ICML.
"
,few-shot learning,3,"User Query: few-shot learning

Assistant: What specific aspect of few-shot learning are you interested in? For example, are you looking for theoretical studies, applications, or specific methodologies?
User: I'm primarily interested in theoretical studies and methodologies related to task-agnostic meta-learning for few-shot classification, specifically focusing on MAML variants, metric learning, and prototypical networks. I'm looking for both foundational and recent advances, particularly those that address theoretical guarantees and computational efficiency.

Assistant: What time period are you most interested in for the papers? Are you looking for recent publications from the last few years, or foundational papers from earlier?
User: I'm looking for papers published between 2019 and 2024 that cover both foundational and recent advances in task-agnostic meta-learning for few-shot classification.

Assistant: Are you looking for papers from specific journals or conferences, or are you open to any reputable source in the field?
User: I'm specifically looking for papers published in venues like ICML, NeurIPS, and ICLR.
"
,vision language,3,"User Query: vision language

Assistant: What specific aspect of vision-language research are you interested in, such as image captioning, visual question answering, or multimodal learning?
User: I'm specifically interested in multimodal learning, particularly in vision-language pre-training for image-text retrieval. I'm focusing on novel methods related to zero-shot transfer and scalability to web-scale data, while excluding image captioning only.

Assistant: What time period are you focusing on for the research papers, such as recent years or a specific range?
User: I'm looking for papers published between 2021 and 2024.

Assistant: Are you looking for papers that discuss specific methodologies used in vision-language pre-training, or are you open to a variety of approaches?
User: I'm specifically interested in novel methods related to vision-language pre-training, particularly those that focus on zero-shot transfer and scalability to web-scale data.
"
